date_listed,Title,Location,State,Description,price
,2bedroom flats,"Kruz Enterprise, Awka ",Anambra,,"500,000"
,2bedroom flats,Ifite Awka ,Anambra,,"650,000"
,1bedroom flats,"Kruz Enterprise, Awka ",Anambra,,"500,000"
,3bedroom flats,Okpuno Awka Anambra ,Anambra,,2800000
,1bedroom flats,Ifite Awka ,Anambra,,"190,000"
,1bedroom Apartment,"Premier Apartment, Awka ",Anambra,,"220,000"
,3bedroom Apartment,Owerri ,Imo,3 bedroom Apartment,"600,000"
,5 Bedroom Duplex, Concord Hotel Axis,Imo,5 Bedroom Duplex,"2,500,000"
,3bedroom flats," Okwelle Layout, Owerri for Rent",Imo,3bedroom Block of Flats,"420,000"
,3 Bedroom, New Owerri ,Imo,3 Bedroom,"550,000"
,3 Bedroom Flat ,Owerri Town ,Imo,3 Bedroom ,"500,000"
,3 bedroom bedDuplex,Owerri,Imo,"Newly built, Good Securty,Steady Water & Light","2,000,000"
,3 bedroom Duplex,Udenwa Housing Estate New Owerri.,Imo,6 Bedroom Duplex,"3,500,000"
,3 bedroom Duplex, Uwazurike Estate New Owerri,Imo,4 Bedroom Duplex All Ensuite With A Boys Quarters ,"2,500,000"
,3bedroom Apartment,Owerri ,Imo,3 bedroom ,"600,000"
,3bedroom Apartment,Owerri,Imo,3 bedroom,"1,300,000"
,3 Bedroom Flat , New Owerri ,Imo,3 Bedroom ,"500,000"
,3 Bedroom Bungalow ,New Owerri,Imo,3 Bedroom Self Compound Bungalow With A Large Space And 2 Gates,"700,000"
,3 Bedroom Flat,opp. Imo Housing Estate New Owerri,Imo,3 Bedroom Flat,"450,000"
,1 Bedrom Flat,New Owerri,Imo,"Newly Lovely Built ,1 Bedrom Flat,Federal Light,Water Heater ","360,000"
, 4 bedroom Duplex , Concord Axis ,Imo,Four Bedroom Duplex ,"2,000,000"
, 4 bedroom Duplex,New Owerri,Imo,4 Bedroom Terrace Duplex,"1,300,000"
,3 Bedroom,Owerri,Imo,3 Bedrooms ,"600,000"
,3bedroom flats, Owerri ,Imo,3bedroom Block of Flats,"420,000"
,3 Bedroom Duplex, Concord Axis.,Imo,"3 Bedroom Duplex, Security House","1,800,000"
,4 Bedrom Duplex,Owerri,Imo,"4 Bedrom Duplex, 2 Parlors,Federal Light Borehole","1,200,000"
,3 Bedroom Flat ,Owerri,Imo,3 Bedroom Flat ,"750,000"
, 3 Bedroom Flat,Owerri,Imo,"Newly Built ,3 Bedroom Flat, with Federal Light","600,000"
,3 Bedroom Flat, Imo Housing Estate New Owerri.,Imo,3 Bedroom Flat,"600,000"
,3 Bedroom Duplex , Federal Housing Estate New Owerri.,Imo,3 Bedroom Double Occupant Duplex ,"1,080,000"
,Cool Clean Club House,Within Concord Axis,Imo,Cool Clean Club House,"5,000,000"
,A Stand Alone Duplex,In New Owerri Off PH Road Owerri,Imo,A Stand Alone Duplex,"1,500,000"
,3 Bedroom Duplex,Within Concord Area New Owerri,Imo,3 Bedroom Duplex,"2,000,000"
,3 Bedroom Flat , New Owerri ,Imo,3 Bedroom Flat With 2 Toilets,"360,000"
,2 Bedroom Flats, Opposite Imo Housing New Owerri,Imo,2 Bedroom Flats,"500,000"
,3 Bedroom Flat,New Owerri,Imo,3 Bedroom Flat,"2,400,000"
,3 Bedroom Flat ,Owerri,Imo,Newly and Lovely Built 3 Bedroom Flat With Federal Light,"850,000"
,3 Bedroom  Bungalow,Owerri,Imo,3 Bedroom Self Compound Bungalow,"650,000"
